Which EPA Section is This From?,Name of Water Source,Date of Water Sampling,Longitude,Latitude,US EPA Risk Rating,Amount of Aluminum (Al),Exceedance of Aluminum (Al)?,Amount of Antimony (Sb),Exceedance of of Antimony (Sb)?,Amount of Arsenic (As),Exceedance of Arsenic (As)?,Amount of Barium (Ba),Exceedance of Barium (Ba)?,Amount of Beryllium (Be),Exceedance of Beryllium (Be)?,Amount of Cadmium (Cd),Exceedance of Cadmium (Cd)?,Amount of Chromium (Cr),Exceedance of Chromium (Cr)?,Amount of Copper (Cu),Exceedance of Copper (Cu)?,Amount of Iron (Fe),Exceedance of Iron (Fe)?,Amount of Lead (Pb),Exceedance of Lead (Pb)?,Amount of Manganese (Mn),Exceedance of Manganese (Mn)?,Amount of Mercury (Hg),Exceedance of Mercury (Hg)?,Amount of Nickel (Ni),Exceedance of Nickel (Ni)?,Amount of Selenium (Se),Exceedance of Selenium (Se)?,Amount of Silver (Ag),Exceedance of Silver (Ag)?,Amount of Thallium (TI),Exceedance of Thallium (TI)?,Amount of Vanadium (V),Exceedance of Vanadium (V)?,Amount of Zinc (Zn),Exceedance of Zinc (Zn)?,Amount of Alpha Particles,Alpha Particle Exceedance?,Amount of Beta Particles,Beta Particle Exceedance?,Amount of Lead210,Exceedance of Lead210?,Amount of Radium226,Exceedance of of Radium226?,Amount of Radium228,Exceedance of Radium228?,Amount of Thorium228,Exceedance of Thorium228?,Amount of Thorium230,Exceedance of Thorium230?,Amount of Thorium232,Exceedance of Thorium232?,Amount of Uranium234,Exceedance of Uranium234?,Amount of Uranium235,Exceedance of Uranium235?,Amount of Uranium238,Exceedance of Uranium238?
Section 4,Cottonwood Chapter House (Well),11/19/98,109 53 20.502,36 4 14.12939,Some Risk,42.3,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),6,No (Below 50 micrograms/liter),87.5,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0.4,No (Below 5 micrograms/liter),10.2,No (Below 100 micrograms/liter),4.6,"No (Below 1,300 micrograms/liter)",127,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),1.8,No (Below 50 micrograms/liter),0.18,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),3.2,No (Below 50 micrograms/liter),1.4,No (Below 100 micrograms/liter),6.2,Yes (Above 2 micrograms/liter),2.7,No (Below 260 micrograms/liter),80.5,"No (Below 5,000 micrograms/liter)",15,Yes (Above 15 pico-curies/liter),13.8,No (Below 50 pico-curies/liter),0.58,Yes (Above 0.047 pico-curies/liter),0.298,No (Below 5 Pico-curies per Liter),0.219,No (Below 5 pico-curies/liter),0.01,No (Below 0.21 pico-curies/liter),0.005,No (Below 1.3 pico-curies/liter),0.005,No (Below 1.5 pico-curies/liter),7.68,No (Below 20 pico-curies/liter),0.151,No (Below 20 pico-curies/liter),8.56,No (Below 20 pico-curies/liter)
Section 4,Waterfall Spring,11/4/98,109 49 52.603,36 17 40.9530,More Risk,160,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),0,No (Below 50 micrograms/liter),45.5,"No (Below 1,000 micrograms/liter)",0.6,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",0,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),2.7,No (Below 50 micrograms/liter),0,No (Below 2 micrograms/liter),2.3,No (Below 730 micrograms/liter),23.5,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),19.4,No (Below 260 micrograms/liter),31.4,"No (Below 5,000 micrograms/liter)",52,Yes (Above 15 pico-curies/liter),25.1,No (Below 50 pico-curies/liter),2.26,Yes (Above 0.047 pico-curies/liter),1.63,No (Below 5 Pico-curies per Liter),4.68,No (Below 5 pico-curies/liter),0.133,No (Below 0.21 pico-curies/liter),0.012,No (Below 1.3 pico-curies/liter),0.007,No (Below 1.5 pico-curies/liter),31,Yes (Above 20 pico-curies/liter),0.937,No (Below 20 pico-curies/liter),28.9,Yes (Above 20 pico-curies/liter)
Section 2,Little Cedar Well (Spring),4/13/99,109 3 57.9413,36 44 41.1492,Less Risk,26.9,"No (Below 1,000 micrograms/liter)",3.1,No (Below 6 micrograms/liter),0,No (Below 50 micrograms/liter),186,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",0,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),0.8,No (Below 50 micrograms/liter),0,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),0,No (Below 260 micrograms/liter),15,"No (Below 5,000 micrograms/liter)",0.92,No (Below 15 pico-curies/liter),1.87,No (Below 50 pico-curies/liter),0.51,Yes (Above 0.047 pico-curies/liter),0.037,No (Below 5 Pico-curies per Liter),0.703,No (Below 5 pico-curies/liter),0.01,No (Below 0.21 pico-curies/liter),0.004,No (Below 1.3 pico-curies/liter),0,No (Below 1.5 pico-curies/liter),1.7,Yes (Above 20 pico-curies/liter),0.136,No (Below 20 pico-curies/liter),0.63,No (Below 20 pico-curies/liter)
Section 4,Begay Well,11/5/98,109 53 48.851,36 20 19.9763,Some Risk,189,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),0,No (Below 50 micrograms/liter),28.9,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",27.6,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),3.4,No (Below 50 micrograms/liter),0.078,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),2.5,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),5.1,Yes (Above 2 micrograms/liter),0,No (Below 260 micrograms/liter),36,"No (Below 5,000 micrograms/liter)",11.1,No (Below 15 pico-curies/liter),16.5,No (Below 50 pico-curies/liter),3.1,Yes (Above 0.047 pico-curies/liter),0.116,No (Below 5 Pico-curies per Liter),0.987,No (Below 5 pico-curies/liter),0.051,No (Below 0.21 pico-curies/liter),0.003,No (Below 1.3 pico-curies/liter),0.013,No (Below 1.5 pico-curies/liter),2.15,No (Below 20 pico-curies/liter),0.068,No (Below 20 pico-curies/liter),2.91,No (Below 20 pico-curies/liter)
Section 2,Sheep Dip Well,12/1/99,109 6 12.31,36 34 18.03,Some Risk,0,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),4.2,No (Below 50 micrograms/liter),299,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",0,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),1.7,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),26.3,No (Below 260 micrograms/liter),6.8,"No (Below 5,000 micrograms/liter)",4.3,No (Below 15 pico-curies/liter),1.8,No (Below 50 pico-curies/liter),-3.8,No (Below 0.047 pico-curies/liter),0,No (Below 5 Pico-curies per Liter),0.8,No (Below 5 pico-curies/liter),0.3,Yes (Above 0.21 pico-curies/liter),0.3,No (Below 1.3 pico-curies/liter),0.2,No (Below 1.5 pico-curies/liter),6.2,No (Below 20 pico-curies/liter),0.3,No (Below 20 pico-curies/liter),3.1,No (Below 20 pico-curies/liter)
Section 4,Tank 4T-386,11/23/98,109 53 32.485,36 13 47.4467,Some Risk,158,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),0,No (Below 50 micrograms/liter),7.6,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",260,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),321,Yes (Above 50 micrograms/liter),0.31,No (Below 2 micrograms/liter),1.5,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),6.3,Yes (Above 2 micrograms/liter),0,No (Below 260 micrograms/liter),"1,460.00","No (Below 5,000 micrograms/liter)",10,No (Below 15 pico-curies/liter),10.5,No (Below 50 pico-curies/liter),1.04,Yes (Above 0.047 pico-curies/liter),1.46,No (Below 5 Pico-curies per Liter),2.22,No (Below 5 pico-curies/liter),0.089,No (Below 0.21 pico-curies/liter),-0.011,No (Below 1.3 pico-curies/liter),-0.011,No (Below 1.5 pico-curies/liter),3.8,No (Below 20 pico-curies/liter),0.176,No (Below 20 pico-curies/liter),3.43,No (Below 20 pico-curies/liter)
Section 2,Deer Springs,10/26/99,109 12 4.1658,36 30 32.7750,Some Risk,30.9,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),0,No (Below 50 micrograms/liter),19.3,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0.3,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",43.2,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),51,Yes (Above 50 micrograms/liter),0,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),4.3,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),3.8,Yes (Above 2 micrograms/liter),7.4,No (Below 260 micrograms/liter),3.2,"No (Below 5,000 micrograms/liter)",0.45,No (Below 15 pico-curies/liter),1.35,No (Below 50 pico-curies/liter),0.45,Yes (Above 0.047 pico-curies/liter),0.054,No (Below 5 Pico-curies per Liter),0.477,No (Below 5 pico-curies/liter),0.115,No (Below 0.21 pico-curies/liter),0.02,No (Below 1.3 pico-curies/liter),0,No (Below 1.5 pico-curies/liter),0.65,No (Below 20 pico-curies/liter),0.064,No (Below 20 pico-curies/liter),0.17,No (Below 20 pico-curies/liter)
Section 4,Cliff Spring,11/5/98,110 9 10.1027,36 17 24.5760,Some Risk,243,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),0,No (Below 50 micrograms/liter),52.8,"No (Below 1,000 micrograms/liter)",0.8,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",42.4,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),0,No (Below 260 micrograms/liter),5.1,"No (Below 5,000 micrograms/liter)",9.06,No (Below 15 pico-curies/liter),4.53,No (Below 50 pico-curies/liter),0.73,Yes (Above 0.047 pico-curies/liter),0.703,No (Below 5 Pico-curies per Liter),0.572,No (Below 5 pico-curies/liter),0.018,No (Below 0.21 pico-curies/liter),0.02,No (Below 1.3 pico-curies/liter),0.016,No (Below 1.5 pico-curies/liter),3,No (Below 20 pico-curies/liter),0.073,No (Below 20 pico-curies/liter),2.62,No (Below 20 pico-curies/liter)
Section 4,Black Mesa Chapter House,11/5/98,110 3 53.7252,36 20 45.3029,Some Risk,92.5,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),17.2,No (Below 50 micrograms/liter),4.1,"No (Below 1,000 micrograms/liter)",0.6,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),4.9,No (Below 100 micrograms/liter),2.9,"No (Below 1,300 micrograms/liter)",69.8,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),8,No (Below 50 micrograms/liter),0.031,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),4.8,Yes (Above 2 micrograms/liter),12.6,No (Below 260 micrograms/liter),32.6,"No (Below 5,000 micrograms/liter)",1.25,No (Below 15 pico-curies/liter),0.98,No (Below 50 pico-curies/liter),0.13,Yes (Above 0.047 pico-curies/liter),0.088,No (Below 5 Pico-curies per Liter),0.53,No (Below 5 pico-curies/liter),0.002,No (Below 0.21 pico-curies/liter),0.003,No (Below 1.3 pico-curies/liter),0,No (Below 1.5 pico-curies/liter),0.59,No (Below 20 pico-curies/liter),-0.025,No (Below 20 pico-curies/liter),0.5,No (Below 20 pico-curies/liter)
Section 4,Tank 4T-399,11/3/98,109 59 21.767,36 21 50.0195,Some Risk,143,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),0,No (Below 50 micrograms/liter),20.5,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",51.9,No (Below 300 micrograms/liter),2.4,No (Below 15 micrograms/liter),448,Yes (Above 50 micrograms/liter),0.054,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),5.9,Yes (Above 2 micrograms/liter),0,No (Below 260 micrograms/liter),"1,960","No (Below 5,000 micrograms/liter)",2.09,No (Below 15 pico-curies/liter),13.3,No (Below 50 pico-curies/liter),0.45,Yes (Above 0.047 pico-curies/liter),1.32,No (Below 5 Pico-curies per Liter),5.17,Yes (Above 5 pico-curies/liter),0.257,Yes (Above 0.21 pico-curies/liter),0,No (Below 1.3 pico-curies/liter),0.008,No (Below 1.5 pico-curies/liter),0.48,No (Below 20 pico-curies/liter),0.033,No (Below 20 pico-curies/liter),0.62,No (Below 20 pico-curies/liter)
Section 4,Tinyehtoh Spring,10/8/98,109 53 20.356,36 26 52.5558,More Risk,108,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),0,No (Below 50 micrograms/liter),42.4,"No (Below 1,000 micrograms/liter)",0.4,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),2.1,"No (Below 1,300 micrograms/liter)",40.9,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),1.7,No (Below 50 micrograms/liter),0.097,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),2.9,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),4.6,Yes (Above 2 micrograms/liter),2.6,No (Below 260 micrograms/liter),16.4,"No (Below 5,000 micrograms/liter)",44.4,Yes (Above 15 pico-curies/liter),16.2,No (Below 50 pico-curies/liter),1.22,Yes (Above 0.047 pico-curies/liter),0.098,No (Below 5 Pico-curies per Liter),-0.08,No (Below 5 pico-curies/liter),0.007,No (Below 0.21 pico-curies/liter),0.003,No (Below 1.3 pico-curies/liter),-0.002,No (Below 1.5 pico-curies/liter),26.2,Yes (Above 20 pico-curies/liter),0.121,No (Below 20 pico-curies/liter),13.6,No (Below 20 pico-curies/liter)
Section 4,Tank 308-1,11/5/98,110 14 12.333,36 12 55.2294,Some Risk,102,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),0,No (Below 50 micrograms/liter),4.2,"No (Below 1,000 micrograms/liter)",0.4,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",531,Yes (Above 300 micrograms/liter),0,No (Below 15 micrograms/liter),16.9,No (Below 50 micrograms/liter),0,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),4,Yes (Above 2 micrograms/liter),0,No (Below 260 micrograms/liter),154,"No (Below 5,000 micrograms/liter)",2.82,No (Below 15 pico-curies/liter),2.77,No (Below 50 pico-curies/liter),0.96,Yes (Above 0.047 pico-curies/liter),0.283,No (Below 5 Pico-curies per Liter),0.571,No (Below 5 pico-curies/liter),0.052,No (Below 0.21 pico-curies/liter),0.005,No (Below 1.3 pico-curies/liter),-0.001,No (Below 1.5 pico-curies/liter),0.42,No (Below 20 pico-curies/liter),-0.036,No (Below 20 pico-curies/liter),-0.05,No (Below 20 pico-curies/liter)
Section 4,Aspen Spring,11/5/98,110 0 18.7602,36 26 36.6551,Some Risk,71.8,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),0,No (Below 50 micrograms/liter),20.1,"No (Below 1,000 micrograms/liter)",0.2,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",0,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),0,No (Below 50 micrograms/liter),0.08,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),4.3,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),4.1,Yes (Above 2 micrograms/liter),0,No (Below 260 micrograms/liter),8.1,"No (Below 5,000 micrograms/liter)",4.34,No (Below 15 pico-curies/liter),4.86,No (Below 50 pico-curies/liter),0.67,Yes (Above 0.047 pico-curies/liter),0.119,No (Below 5 Pico-curies per Liter),0.097,No (Below 5 pico-curies/liter),0.027,No (Below 0.21 pico-curies/liter),0.01,No (Below 1.3 pico-curies/liter),0,No (Below 1.5 pico-curies/liter),1.32,No (Below 20 pico-curies/liter),0.033,No (Below 20 pico-curies/liter),1.18,No (Below 20 pico-curies/liter)
Section 4,Trading Post Spring,11/20/98,109 52 15.790,36 24 13.6590,Some Risk,53,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),0,No (Below 50 micrograms/liter),84.7,"No (Below 1,000 micrograms/liter)",0.2,No (Below 4 micrograms/liter),0.5,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",0,No (Below 300 micrograms/liter),1.3,No (Below 15 micrograms/liter),0.3,No (Below 50 micrograms/liter),0.37,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),1,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),0,No (Below 260 micrograms/liter),220,"No (Below 5,000 micrograms/liter)",2.67,No (Below 15 pico-curies/liter),8.77,No (Below 50 pico-curies/liter),0.8,Yes (Above 0.047 pico-curies/liter),0.225,No (Below 5 Pico-curies per Liter),0.499,No (Below 5 pico-curies/liter),0.001,No (Below 0.21 pico-curies/liter),0.004,No (Below 1.3 pico-curies/liter),0,No (Below 1.5 pico-curies/liter),3.67,No (Below 20 pico-curies/liter),0.212,No (Below 20 pico-curies/liter),1.77,No (Below 20 pico-curies/liter)
Section 4,Coal Spring,11/4/98,109 54 39.388,36 18 9.36179,Less Risk,109,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),0,No (Below 50 micrograms/liter),7.2,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),7.7,"No (Below 1,300 micrograms/liter)",334,Yes (Above 300 micrograms/liter),0,No (Below 15 micrograms/liter),4.2,No (Below 50 micrograms/liter),0.066,No (Below 2 micrograms/liter),1.1,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),0,No (Below 260 micrograms/liter),40,"No (Below 5,000 micrograms/liter)",1.99,No (Below 15 pico-curies/liter),2.99,No (Below 50 pico-curies/liter),0.49,Yes (Above 0.047 pico-curies/liter),0.074,No (Below 5 Pico-curies per Liter),0.451,No (Below 5 pico-curies/liter),-0.005,No (Below 0.21 pico-curies/liter),0.019,No (Below 1.3 pico-curies/liter),-0.002,No (Below 1.5 pico-curies/liter),0.58,No (Below 20 pico-curies/liter),0.078,No (Below 20 pico-curies/liter),0.34,No (Below 20 pico-curies/liter)
Section 4,Tanizohnnie Nez Spring,3/15/99,109 47 2.2038,36 20 40.3644 ,Some Risk,1690,"Yes (Above 1,000 micrograms/liter)",3.2,No (Below 6 micrograms/liter),2.8,No (Below 50 micrograms/liter),58.3,"No (Below 1,000 micrograms/liter)",0.2,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),2.8,No (Below 100 micrograms/liter),4.5,"No (Below 1,300 micrograms/liter)",2100,Yes (Above 300 micrograms/liter),9.7,No (Below 15 micrograms/liter),73.4,Yes (Above 50 micrograms/liter),0.072,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),6.9,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),7.2,No (Below 260 micrograms/liter),62.8,"No (Below 5,000 micrograms/liter)",13.3,No (Below 15 pico-curies/liter),10.6,No (Below 50 pico-curies/liter),0,No (Below 0.047 pico-curies/liter),0.125,No (Below 5 Pico-curies per Liter),0.247,No (Below 5 pico-curies/liter),0.01,No (Below 0.21 pico-curies/liter),0,No (Below 1.3 pico-curies/liter),0,No (Below 1.5 pico-curies/liter),8.47,No (Below 20 pico-curies/liter),0.219,No (Below 20 pico-curies/liter),4.92,No (Below 20 pico-curies/liter)
Section 4,Sweet Water Spring,3/15/99,109 47 57.689,36 16 47.0333,Some Risk,37.7,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),0,No (Below 50 micrograms/liter),11.1,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),4.8,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",5930,Yes (Above 300 micrograms/liter),0,No (Below 15 micrograms/liter),61.7,Yes (Above 50 micrograms/liter),0.075,No (Below 2 micrograms/liter),1.4,No (Below 730 micrograms/liter),208,Yes (Above 50 micrograms/liter),0.9,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),168,No (Below 260 micrograms/liter),27,"No (Below 5,000 micrograms/liter)",9.03,No (Below 15 pico-curies/liter),17.8,No (Below 50 pico-curies/liter),0.31,Yes (Above 0.047 pico-curies/liter),0.11,No (Below 5 Pico-curies per Liter),0.359,No (Below 5 pico-curies/liter),0,No (Below 0.21 pico-curies/liter),0.011,No (Below 1.3 pico-curies/liter),0,No (Below 1.5 pico-curies/liter),5.8,No (Below 20 pico-curies/liter),0.384,No (Below 20 pico-curies/liter),6.39,No (Below 20 pico-curies/liter)
Section 4,White Clay Spring,11/24/98,109 52 55.032,36 13 1.40098,More Risk,148,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),0,No (Below 50 micrograms/liter),20.1,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",16.7,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),1.1,No (Below 50 micrograms/liter),0.2,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),28.6,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),1.8,No (Below 260 micrograms/liter),6.5,"No (Below 5,000 micrograms/liter)",46.6,Yes (Above 15 pico-curies/liter),26.8,No (Below 50 pico-curies/liter),0.81,Yes (Above 0.047 pico-curies/liter),2.77,No (Below 5 Pico-curies per Liter),1.55,No (Below 5 pico-curies/liter),0.09,No (Below 0.21 pico-curies/liter),0,No (Below 1.3 pico-curies/liter),0.024,No (Below 1.5 pico-curies/liter),22.4,Yes (Above 20 pico-curies/liter),0.992,No (Below 20 pico-curies/liter),22.5,Yes (Above 20 pico-curies/liter)
Section 4,Rough Rock Chapter House,11/20/98,109 51 39.670,36 24 43.4477,More Risk,30.1,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),44.1,No (Below 50 micrograms/liter),8.2,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),17.1,No (Below 100 micrograms/liter),2,"No (Below 1,300 micrograms/liter)",93.6,No (Below 300 micrograms/liter),2.3,No (Below 15 micrograms/liter),6.2,No (Below 50 micrograms/liter),0.11,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),70.3,No (Below 260 micrograms/liter),21,"No (Below 5,000 micrograms/liter)",14.1,No (Below 15 pico-curies/liter),9.97,No (Below 50 pico-curies/liter),0.66,Yes (Above 0.047 pico-curies/liter),0.035,No (Below 5 Pico-curies per Liter),0.308,No (Below 5 pico-curies/liter),0.016,No (Below 0.21 pico-curies/liter),0.004,No (Below 1.3 pico-curies/liter),0,No (Below 1.5 pico-curies/liter),11,No (Below 20 pico-curies/liter),0.235,No (Below 20 pico-curies/liter),5.76,No (Below 20 pico-curies/liter)
